Date,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2002-08-12,25.34391975402832,25.535435029701308,24.721492064030038,24.721492064030038,212976
2002-08-13,25.00080108642578,25.78282572087044,24.817266009650687,25.3758539905753,153576
2002-08-14,23.277145385742188,25.056644995734654,22.806333865967247,25.056644995734654,822776
2002-08-15,23.277145385742188,23.277145385742188,23.277145385742188,23.277145385742188,0
2002-08-16,23.221294403076172,24.258671816272013,22.822303090308537,23.157456767133233,811856
2002-08-19,22.64673614501953,23.412799621299506,22.431282390447723,23.412799621299506,205880
2002-08-20,23.277145385742188,24.72149144525907,22.65471771132307,22.806333865967247,3773624
2002-08-21,24.418264389038086,25.02473157333203,23.317049518141975,24.56190026428564,3011064
2002-08-22,25.471603393554688,26.54089949930147,25.09655062944415,25.224228321604084,6732480
2002-08-23,27.003734588623047,27.84959675357533,25.383830651268656,25.695043423069503,4841672
2002-08-26,26.907974243164062,27.610197956987594,26.692517967087717,27.434640810906895,2576912
2002-08-27,26.23764991760254,28.248565741065764,26.014215908439095,27.13139082475243,3694224
2002-08-28,26.2615909576416,26.556842868541352,25.718961677592656,26.15785182523245,1674960
2002-08-29,26.2615909576416,26.732399901696496,26.01421602374047,26.101994540318042,1236544
2002-08-30,28.12089729309082,28.807162595433468,26.333417331005663,26.34139764148907,3762384
2002-09-02,28.408174514770508,29.349792808295277,28.120900352852217,28.567771000808545,2389568
2002-09-03,27.07554817199707,28.68747397000247,26.81221489268659,28.56777658208869,986784
2002-09-04,27.666051864624023,27.929385092828188,26.42119878486529,26.732411445992692,1449856
2002-09-05,27.498483657836914,28.639597916883375,27.131411137746834,28.511920200949884,1061360
2002-09-06,26.477048873901367,27.610184591344968,26.181796916010047,27.610184591344968,907472
2002-09-09,26.133930206298828,27.251105848705496,25.216250214321924,25.216250214321924,880848
2002-09-10,26.133930206298828,26.133930206298828,26.133930206298828,26.133930206298828,0
2002-09-11,26.796247482299805,27.259078726198197,26.277558932667297,26.277558932667297,635936
2002-09-12,26.931903839111328,27.594228203869942,26.748368875936915,27.123419112695245,781968
2002-09-13,26.16584587097168,26.955848064447622,25.94241174350856,25.99029118089333,338264
2002-09-16,25.655134201049805,26.556853340393005,25.4556386007306,26.413217482262787,288592
2002-09-17,26.405227661132812,26.572804392096565,26.03017752875962,26.117953613087543,462952
2002-09-18,25.59129524230957,26.33341786251732,25.375839031153053,26.2536196265703,315432
2002-09-19,25.375844955444336,26.221706941009042,25.05665193713686,25.375844955444336,490848
2002-09-20,24.96088218688965,25.327954485130345,24.362395538208645,24.466134685129063,501072
2002-09-23,24.537967681884766,25.200292339523482,24.434230906435296,25.1364546985161,248504
2002-09-24,23.708059310913086,24.45018202264958,23.444723638660406,24.45018202264958,267912
2002-09-25,23.8915958404541,24.099071779913825,22.98189626693769,23.157453393076537,379544
2002-09-26,24.26663589477539,24.649666324678407,24.09905916847479,24.386333208526093,178136
2002-09-27,24.561893463134766,24.89704699290798,24.186843254839502,24.186843254839502,206288
2002-09-30,23.668155670166016,24.56189439125178,23.157447481652905,24.186844168784546,202232
2002-10-01,23.468666076660156,24.099071771718144,23.06169451002167,23.77987876811923,240192
2002-10-02,23.468666076660156,23.46866607666016,23.46866607666016,23.46866607666016,0
2002-10-03,24.09906768798828,25.375839486027395,23.7798747384785,23.7798747384785,673264
2002-10-04,23.947450637817383,24.490077657803877,23.70007562405192,24.418259733871672,258296
2002-10-07,23.843719482421875,24.258671414935105,23.636245951414928,24.107055205641696,110976
2002-10-08,24.490089416503906,24.721503920396575,23.779885276178124,23.91554331393418,227352
2002-10-09,23.867656707763672,24.968871567317752,23.660180773793535,24.577860635171696,277040
2002-10-10,23.8915958404541,24.577861285475027,23.38886783371458,24.577861285475027,173224
2002-10-11,24.394317626953125,24.85714634401026,24.330477587713474,24.56189194624204,192536
2002-10-14,24.218772888183594,24.89705812557918,23.98735841188681,24.849178680595426,152744
2002-10-15,24.218772888183594,24.218772888183594,24.218772888183594,24.218772888183594,0
2002-10-16,24.26663589477539,27.30694815109285,24.11501978440745,27.30694815109285,247760
2002-10-17,24.26663589477539,24.41825200514333,23.95542336607318,24.41825200514333,144512
2002-10-18,24.777353286743164,25.48755712900742,24.442199707798732,24.73745416711878,512312
2002-10-21,25.160383224487305,26.006245026174014,25.056646490188015,25.359878817562052,646296
2002-10-22,24.250688552856445,25.37584440503525,24.099072359498884,25.37584440503525,229384
2002-10-23,24.138967514038086,24.705535503070273,23.95543253679129,24.418261353043487,153320
2002-10-24,23.71603012084961,24.482091025305145,23.556433693213336,24.40229281148701,168744
2002-10-25,23.229270935058594,23.676141619665476,23.15745299750108,23.30108887261611,172296
2002-10-28,22.886140823364258,23.301092764503245,22.69462547947308,23.061697975826842,134504
2002-10-29,23.08562660217285,23.269163989438294,22.694615768366265,22.822293421409903,143024
2002-10-30,23.47664451599121,23.899574237921545,23.14149091484891,23.30108740391683,164320
2002-10-31,23.843719482421875,23.939478370001748,23.492607620045113,23.62028532506839,118928
2002-11-01,23.596345901489258,24.354429353671197,23.468668201440277,23.955438063049122,108792
2002-11-04,23.771892547607422,23.939469319896446,23.588357590254383,23.939469319896446,56560
2002-11-05,23.516542434692383,23.827755085397282,23.364923829638297,23.548461243822544,70288
2002-11-06,23.516542434692383,23.516542434692383,23.516542434692383,23.516542434692383,0
2002-11-07,24.242694854736328,25.216233976010653,23.93946263545315,23.93946263545315,204880
2002-11-08,23.819778442382812,24.091092014643152,23.636243435184486,23.779879316013663,77664
2002-11-11,23.460689544677734,23.939479127222178,23.41281009937334,23.939479127222178,66568
2002-11-12,23.58036994934082,23.93946187750337,23.301076227436614,23.301076227436614,106864
2002-11-13,23.38089370727539,23.763924438960107,23.25321598496382,23.70008679542932,106264
2002-11-14,23.7000789642334,24.19482906149216,23.388866293167045,23.747958398685732,211856
2002-11-15,24.210777282714844,24.36239340002431,23.939463846174505,24.226737899378236,154144
2002-11-18,24.458162307739258,24.729475856077066,24.15492994817039,24.418263184888133,217672
2002-11-19,24.458162307739258,24.458162307739258,24.458162307739258,24.458162307739258,0
2002-11-20,25.264129638671875,25.455644975891982,24.4182675944293,24.4182675944293,406128
2002-11-21,27.45059585571289,28.551810645592415,25.734933614730835,25.734933614730835,2664024
2002-11-22,27.027664184570312,28.839082726012272,26.42119708872342,26.42119708872342,1184016
2002-11-25,26.979780197143555,27.578266881040935,26.652606989563278,27.290992785720483,428920
2002-11-26,26.8201904296875,27.73787024028058,26.668574252378477,27.21120134019472,367496
2002-11-27,26.25362205505371,27.29099921832331,26.10200587977952,27.29099921832331,301128
2002-11-28,27.322908401489258,27.91341470700733,26.50098775890647,26.508968067477305,447680
2002-11-29,27.322908401489258,27.32290840148926,27.32290840148926,27.32290840148926,0
2002-12-02,30.251508712768555,31.28090536660981,28.392208539777503,28.647563843400313,1388680
2002-12-03,31.98313331604004,33.467381053081354,29.86050210027289,30.96171682777989,4082608
2002-12-04,30.913846969604492,32.67738909008775,30.490917144736226,31.424555371874597,2594928
2002-12-05,31.695850372314453,32.629487979542,30.722311224352598,30.722311224352598,1720264
2002-12-06,32.5257682800293,32.98859717148223,31.687886626873546,32.23849408332602,1139968
2002-12-09,30.96172523498535,33.02051939249018,30.658492817608554,32.398093931453744,975768
2002-12-10,31.671920776367188,32.23848876397194,30.179695158590167,30.403129255131955,837808
2002-12-11,33.16415023803711,34.464860623275996,32.39808661910693,32.557683104915334,3286400
2002-12-12,33.43547058105469,34.47284794991796,33.1960758036247,33.1960758036247,2568024
2002-12-13,33.57111358642578,34.265356669434595,33.37161802775971,33.83444674976559,1112288
2002-12-16,32.12677001953125,34.26536175151839,31.935254741856845,33.99404823854225,1231456
2002-12-17,31.53626251220703,32.7332360017607,31.21706958165938,32.7332360017607,855656
2002-12-18,31.24102020263672,32.38213439813505,31.0255639167945,31.887386624913635,618096
2002-12-19,33.88235092163086,34.712252564867285,31.520321294534657,31.871433247221187,3770256
2002-12-20,34.16163635253906,35.079316362941135,33.51526994511897,34.3132525628599,2952072
2002-12-23,32.94869613647461,34.32122697718759,32.71728170415362,34.313246665331846,1277744
2002-12-24,34.30525588989258,34.472832646752885,32.91676728422585,33.036464619804846,1729840
2002-12-25,34.30525588989258,34.30525588989258,34.30525588989258,34.30525588989258,0
2002-12-26,35.278785705566406,35.71767581798858,33.994034162153746,34.56858219251465,2894448
2002-12-27,34.4808235168457,35.66981692737502,34.33718520900872,35.52618105478731,956984
2002-12-30,36.483760833740234,36.85083083513471,33.682841774788834,34.472843961865046,4253744
2002-12-31,38.3749885559082,38.99741653927711,35.749625891547666,36.72316578501571,9998480
2003-01-01,38.99739074707031,39.56395615591701,38.29516495606217,38.29516495606217,6027072
2003-01-02,37.217899322509766,40.17043425594395,36.970524286983036,39.27669541291872,5325328
2003-01-03,37.67274856567383,38.97345886817151,37.34557530352902,38.303154157465656,4198040
2003-01-06,36.555580139160156,38.4228587698998,36.30820506812961,38.255281951766236,4121520
2003-01-07,36.132633209228516,37.3455671329449,35.78950183573886,37.02637425146674,2650800
2003-01-08,37.42536926269531,37.76052279735624,36.34011286525612,36.61142635580375,2648456
2003-01-09,37.792449951171875,38.39891711036557,37.31366047316357,37.664772269986486,2630400
2003-01-10,35.478302001953125,38.30315953025993,35.27880637939968,38.30315953025993,1702816
2003-01-13,35.837379455566406,36.22839022869429,34.63242590143903,35.89323674587136,2421496
2003-01-14,36.316184997558594,37.42538021408171,36.06880992913632,36.21244580873667,2239360
2003-01-15,37.0423583984375,37.42538912540778,36.40397222998705,36.611445786533466,2759760
2003-01-16,37.56901168823242,38.43083417052289,36.72315226383035,37.32163908406716,2842656
2003-01-17,36.72314453125,37.66476262271853,36.56354807945882,37.1061750414494,1284144
2003-01-20,35.550113677978516,36.691227463912846,35.28678047668563,36.54759161507106,928872
2003-01-21,34.624454498291016,36.10870219144206,34.47283833525518,35.597993962413994,1147240
2003-01-22,34.776065826416016,35.59000870360232,34.52071296502811,34.919704093992266,1081352
2003-01-23,33.499290466308594,34.77606193616692,33.052422400056834,34.31323325244261,1001872
2003-01-24,32.30231475830078,34.1376736067326,31.847466417881773,33.59504674738245,1436848
2003-01-27,30.052003860473633,31.903320716540605,29.54129584622233,30.642510078053206,916832
2003-01-28,32.15071105957031,32.39808609562614,29.5253493974918,30.730303332925743,2043224
2003-01-29,31.24102020263672,32.71728807938967,30.993645098401142,32.25445912456161,1370440
